,DalStudentLife,DalMCS,DalhousieChem,DalGradStudies,_dalsha,DalTigers
10,"{'date': '01/28/2020, 13:56:03', 'full_text': ""Last chance to nominate your favourite faculty or staff member for a Rosemary Gill Award! Tell them how much they've meant to you and send in your nom by 4pm tomorrow. https://t.co/nY2fPzF58F https://t.co/BG759Ut8PU""}","{'date': '11/14/2019, 20:30:13', 'full_text': 'Employers interested in hosting in future Corporate Tours visit: https://t.co/Pece60tUe2'}","{'date': '01/07/2020, 14:55:51', 'full_text': 'Congratulations to Prof. Mary Anne White on being awarded the 2020 Canadian Light Source TK Sham Award in Materials Chemistry. @cicmaterials @DalhousieU @DalScience @DalCleanTech @CanLightSource'}","{'date': '01/29/2020, 17:05:42', 'full_text': ""Thinking of entering this year's 3 Minute Thesis competition? Come out and learn from the best at our upcoming panel event featuring last year's top three 🥇🥈🥉. RSVP here: https://t.co/hmd2aso4cj https://t.co/5ypImqQYFT""}","{'date': '01/31/2020, 15:39:54', 'full_text': 'RT @DalStudentLife: Interviews can be tough and intimidating, and can feel like you never quite get it right. With the Job &amp; Career Fair co…'}","{'date': '02/01/2020, 01:08:44', 'full_text': 'MHOC: TIGERS GOAL! 🚨 Matt Green shortens @UPEIPanthers lead by 1. 3-2 for the Panthers. @AUS_SUA #GoTigers #FearTheRoar'}"
11,"{'date': '01/27/2020, 21:01:31', 'full_text': ""Eating when you're hungry makes it easier to listen, concentrate, and not be a complete grouch! Check out these 10 great on-the-go snacks for class to keep your tummy from grumbling! https://t.co/1Q8N4tO3A0 #dalstudentlife #dalhousieu""}","{'date': '11/14/2019, 20:10:03', 'full_text': 'It’s been a pleasure #Halifax! We’re incredibly appreciative for all of the organizations that participated in the #HalifaxCorpTour and made today possible.'}","{'date': '01/07/2020, 14:54:11', 'full_text': 'Congratulations to Prof. Josef Zwanziger on being awarded 2020 Otto Schott Research Award for outstanding\nachievements in basic science and technology developments within the field of glass, glass ceramics or related advanced materials. @DalhousieU @DalScience @DalCleanTech'}","{'date': '01/29/2020, 16:00:32', 'full_text': ""Don't forget to RSVP for @DalBSAC's 30th anniversary event 🚀 on Monday:  https://t.co/GdwLkMWzl4 https://t.co/XTuKaoGqZv""}","{'date': '01/31/2020, 15:39:47', 'full_text': 'RT @DalCrossroads: New to Crossroads is Naloxone Training, which is being offered on Day One of the conference at 2:15 pm @hfxpublib. Nalox…'}","{'date': '02/01/2020, 01:03:41', 'full_text': 'MHOC: @UPEIPanthers score a PP goal to make it 3-1 over your Tigers.  @AUS_SUA #GoTigers #FearTheRoar'}"
12,"{'date': '01/27/2020, 18:01:34', 'full_text': 'Less than 3 weeks left to enter the DalCard Passport contest! Pick up a passport at any retail location that accepts DalCard &amp; collect stickers from 5 locations for a chance to win a $250 prize pack &amp; a $100 DalCard Deposit! https://t.co/6LdXSYxCIG #dalhousieu #dalstudentlife https://t.co/moHZvhxH29'}","{'date': '11/14/2019, 12:35:02', 'full_text': 'The Accounting &amp; Finance stream features @GTCanadaNewGrad @TD_Careers and #Emera.'}","{'date': '12/20/2019, 14:31:36', 'full_text': 'RT @DalhousieU: We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Saurabh Chitnis has fun with dissolving candy canes. 🔬 Read…'}","{'date': '01/29/2020, 14:19:42', 'full_text': '#BellLetsTalk https://t.co/ZbXfEAH97V'}","{'date': '01/31/2020, 14:24:07', 'full_text': 'Glass Slipper Prom Dress Giveaway - Halifax Public Libraries https://t.co/CTYdE8gGou'}","{'date': '02/01/2020, 01:01:22', 'full_text': 'MBB: the Tigers are down 18-19 after 1 quarter at @gocapersgo. #GoTigers #FearTheRoar'}"
13,"{'date': '01/27/2020, 15:19:14', 'full_text': 'The deadline for exchange and study abroad is coming up soon! Apply by January 31 to go Beyond Borders ✈️!!\n\nhttps://t.co/K9O5gaf6m6'}","{'date': '11/14/2019, 12:30:20', 'full_text': 'The Career Discovery &amp; Marketing stream includes @VERBInteractive @DashHudson and @voltaeffect'}","{'date': '12/13/2019, 22:20:41', 'full_text': 'RT @DalhousieU: We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Mary Anne White explains the anatomy of a snowflake. ❄️ Rea…'}","{'date': '01/29/2020, 13:07:52', 'full_text': ""Today's 3MT motivation comes from 2019 finalist and People's Choice award winner Yvonne Brandelli of @PsychNeuroDal. Learn more and register for this year's 3MT competition: https://t.co/E8rmXsRXUH https://t.co/h1noCp3Ybc""}","{'date': '01/30/2020, 20:47:29', 'full_text': 'RT @IWKHR: The IWK is seeking new Board Members! https://t.co/O2hJ3RMdRQ'}","{'date': '02/01/2020, 00:59:52', 'full_text': 'WVB: TIGERS WIN! They take the final set 25-16 and the game 3-1! They are back in action tomorrow! #GoTigers #FearTheRoar'}"
14,"{'date': '01/27/2020, 14:02:26', 'full_text': ""On Tuesday, Jan. 28, Dr. Deep Saini (#DalhousieU's new pres) will be visiting the Agricultural Campus! Come out to the reception from 2-3pm at the Student Learning Commons - MacRae Library and meet Deep! More about him here: https://t.co/HVfzpvW87w #dalstudentlife""}","{'date': '11/14/2019, 12:25:03', 'full_text': 'This year’s #HalifaxCorpTour has 2 streams: Career Discovery &amp; Marketing, and Accounting &amp; Finance to tailor the students’ experience to meet their areas of interest and curiosity.'}","{'date': '12/08/2019, 20:15:53', 'full_text': 'RT @DalhousieU: #DalhousieU researchers are helping to solve some of the most complex global issues facing humankind. For Dr. Axel Becke, i…'}","{'date': '01/28/2020, 17:35:06', 'full_text': 'PhD student Taylor Hersh has spent time researching marine mammals in both cold 🥶 and hot 🌞 climates. At @DalStudentLife, she offers tips for overcoming four challenges of graduate fieldwork, including the weather:  https://t.co/qMLvsWhLQV https://t.co/eGxQM6Oxst'}","{'date': '01/30/2020, 20:44:08', 'full_text': 'RT @CBCNS: Coronavirus precautions the same as the flu, says Halifax expert https://t.co/jUubfMcuWI https://t.co/Wx4c2AKiUM'}","{'date': '02/01/2020, 00:56:13', 'full_text': 'MHOC: Boards are fixed so time for some puck! 3rd period is underway here at the Forum. @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar'}"
15,"{'date': '01/26/2020, 21:00:57', 'full_text': ""Have you seen our latest Walk n' Talk video? We asked Dal students what their resolutions are for 2020 and, more importantly, how are they doing with them so far? https://t.co/AmdPBZTK2K #dalstudentlife #dalhousieu""}","{'date': '11/14/2019, 12:20:05', 'full_text': 'Good morning #Halifax! @RoweBusiness students are ready to learn about corporate culture, scope out potential opportunities, and network with representatives from 6 different worksites on the #HFXCorpTour.'}","{'date': '12/02/2019, 21:41:58', 'full_text': 'Next Monday Prof. Harrington visits our department: https://t.co/bv0nArzag1'}","{'date': '01/28/2020, 15:48:56', 'full_text': 'Research from PhD candidate @PhillipJoy2 and @Dal_HAHP assistant professor @MatthewNumer was referenced in this @GQMagazine article on body image in the gay community: https://t.co/mTVIwWvTsN'}","{'date': '01/30/2020, 20:40:03', 'full_text': 'RT @DalMCRT: 🚨Hey @DalhousieU students! Are you interested in being a Volunteer Medical Responder or Mental Health Volunteer? 🚨 Application…'}","{'date': '02/01/2020, 00:48:59', 'full_text': ""MHOC: We're experiencing some issues with the boards. 3rd period will begin as soon as everything is fixed. @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar""}"
16,"{'date': '01/25/2020, 23:00:11', 'full_text': ""Do YOU have what it takes to be one of Canada's top students? If you're an undergrad who is graduating in 2022 &amp; will be available for a fully-paid trip to Toronto at the end of February, you're eligible to win! More info here: https://t.co/gRpFvJgoyk #dalstudentlife #dalhousieu https://t.co/F6iIAoygup""}","{'date': '11/08/2019, 16:05:07', 'full_text': 'On Nov 20 attend the @KPMG_Canada Ideation Challenge Info Session. To learn how you can compete against teams across Canada and internationally while building your resume! https://t.co/wDhRqUmSm0 https://t.co/DdHbx6odny'}","{'date': '12/02/2019, 21:41:12', 'full_text': 'This Friday we welcome Prof. Adrian Schwan: https://t.co/wdf3j4I1mV'}","{'date': '01/28/2020, 15:10:51', 'full_text': 'Where can a graduate degree from @DAL_FASS take you? Hear from a panel of four FASS alumni who have gone on to successful careers following completion of advanced studies at Dal. Learn more about the panelists and register: https://t.co/4qhK9L1JOV\n\n@Dal_English @dagshfx https://t.co/kcRAHNa64b'}","{'date': '01/30/2020, 20:35:25', 'full_text': 'Yes! Congratulations from all of us @_dalsha 👏🏻👏🏻👏🏻 https://t.co/ZUT75iOGHR'}","{'date': '02/01/2020, 00:36:16', 'full_text': 'RT @aiglesbleus: @DalTigers 25 et @aiglesbleus 15, 3e manche aux Tigers qui mènent 2 à 1 volleyball féminin @AUS_SUA'}"
17,"{'date': '01/25/2020, 21:00:58', 'full_text': ""Always running late for class? Don't skip breakfast this upcoming week! Try quickly mixing up one of Natalie's favourite simple smoothie recipes instead: https://t.co/cDqvGj3nUM #dalstudentlife #dalhousieu""}","{'date': '10/11/2019, 13:56:11', 'full_text': 'Do you have a passion for communication and student engagement? Do you want to apply your organization and event planning skills to work? Join the MCS team for Winter co-op 2019! The deadline to apply is Monday, October 14th so apply now on myCareer. https://t.co/IjJ3TZ6A9K'}","{'date': '11/30/2019, 12:28:44', 'full_text': 'RT @ConceptsChemDal: We hope you all have enjoyed our holiday ‘chemistree’ and we thank all of the students who shared holiday greetings an…'}","{'date': '01/28/2020, 13:53:24', 'full_text': 'Four Dalhousie researchers are among the recipients of @CIHR_IRSC Project Grant funding for their innovative health research. Learn more about their projects: https://t.co/m1FfeHI3yG https://t.co/WDyC0uMjLw'}","{'date': '01/30/2020, 17:55:06', 'full_text': '@DalAHAS https://t.co/dLUGAacDAg'}","{'date': '02/01/2020, 00:26:36', 'full_text': 'MHOC: @UPEIPanthers still hold a 2-1 lead over your Tigers at the end of the 2nd. @AUS_SUA #GoTigers #FearTheRoar'}"
18,"{'date': '01/25/2020, 18:00:13', 'full_text': 'Have YOU entered the DalCard Passport contest yet? Pick up a passport at any retail location that accepts DalCard and collect stickers from 5 locations for a chance to win a $250 prize pack and a $100 DalCard Deposit! More: https://t.co/6LdXSYxCIG #dalhousieu #dalstudentlife https://t.co/VFQx3N7XsV'}","{'date': '10/07/2019, 12:48:21', 'full_text': ""Registration has been extended for the Halifax Corporate Tour, but only a couple spots remain! Act fast and sign-up via the myCareer Events Calendar before it's too late. @DalManagement https://t.co/nJYrJtq4cT""}","{'date': '11/26/2019, 14:08:00', 'full_text': 'Checkout the recent contribution by Dr. Whalen and others in the Journal of Chemical Education - https://t.co/uUKVG62QmR'}","{'date': '01/28/2020, 13:07:01', 'full_text': ""Here's your daily 3MT motivation, courtesy of 2019 finalist Gurkaran Chowdhry from @DalPhysAtmosSci. Learn more and register for this year's 3 Minute Thesis competition: https://t.co/E8rmXsRXUH https://t.co/sZTRcWNYrM""}","{'date': '01/30/2020, 16:11:46', 'full_text': 'RT @Dal_Alumni: Looking to connect with #DalAlumni near you? We’re hosting events in a variety of cities - sign up for great company and co…'}","{'date': '02/01/2020, 00:11:51', 'full_text': 'WVB: Tigers tie the game 1-1 vs @aiglesbleus. #GoTigers #FearTheRoar'}"
19,"{'date': '01/25/2020, 17:12:34', 'full_text': 'Even leaders make mistakes. But the good ones keep moving forward. How do you lead? Develop your skills and learn new ones at Dal’s student leadership conference, DAL Lead!, Sat. Feb. 1. Register now at https://t.co/3ZVahUBCOP. #dalstudentlife #dalhousieu https://t.co/WMXkjZmD2Z'}","{'date': '10/04/2019, 13:23:29', 'full_text': 'RT @oneNovaScotia: Connecting people to meaningful work is incredibly important for growing and boosting our economy! \nWe love seeing the i…'}","{'date': '11/26/2019, 14:06:50', 'full_text': 'RT @awhspeed: My rambling interview about rubbing alcohol made it onto the CBC! Though I did mean autooxidation where it says oxidation:\nht…'}","{'date': '01/27/2020, 19:00:26', 'full_text': ""Congratulations to the four graduate students who were named Academic All-Canadians for the 2018-2019 school year! 🏀 🏊\u200d♀️ ⚽🥌🏒 See the full list of Dal's 104 Academic All-Canadians: https://t.co/4OPZuUyOeU""}","{'date': '01/30/2020, 16:09:39', 'full_text': 'We will be there with our swag and great advice regarding the MHA, JDMHA as well as our undergrad programs  @_dalsha see you there.😉 https://t.co/nxHYhGSxqI'}","{'date': '01/31/2020, 23:52:12', 'full_text': 'MHOC: 2nd period is underway here at the Forum against @UPEIPanthers. @AUS_SUA #GoTigers #FearTheRoar'}"
20,"{'date': '01/24/2020, 21:00:56', 'full_text': 'With all the demands of school, it helps to have something to focus on that doesn’t involve grades or studying. The best way to destress is a hobby. Check out these 6 inexpensive hobby ideas for students! https://t.co/k4YllgVSdd #dalstudentlife #dalhousieu'}","{'date': '10/03/2019, 15:29:34', 'full_text': ""RT @DalhousieU: 'Tis the season for Fall Convocation! 🎓 Our confirmed list of fall graduates is now available here: https://t.co/FHqke2VP0E…""}","{'date': '11/23/2019, 22:21:26', 'full_text': 'Prof. David Zechel is our visiting speaker this upcoming Friday: https://t.co/pfcSTdP1Th'}","{'date': '01/27/2020, 17:49:54', 'full_text': ""We'd imagine that @SchulichLaw students would be good at making compelling arguments concerning the importance of their research... https://t.co/cpzqW8LK6y""}","{'date': '01/30/2020, 15:51:46', 'full_text': 'Coronavirus what precautions should I take?\nPlease review the attached information sheet from the Province of Nova Scotia. \nAt this time, the Public Health Agency of Canada indicates that the overall health risk in Canada remains low. https://t.co/EhGxIHTshQ'}","{'date': '01/31/2020, 23:49:37', 'full_text': 'WBB: the Tigers drop tonight’s road game vs @gocapersgo 65-83. Chloe Wilson with 16 points and 10 rebounds. #GoTigers #FearTheRoar'}"
21,"{'date': '01/24/2020, 16:02:41', 'full_text': ""Have you met #DalhousieU's new president, Dr. Deep Saini? Come out to a reception on Monday, January 27 from 8-9 am at the Tupper Building (Link) to get to know him in person! Find out more about Dr. Saini here: https://t.co/Vcez3P1aO9  #dalstudentlife https://t.co/HHqaZvupJe""}","{'date': '10/03/2019, 15:29:08', 'full_text': '@BlackBusinessNS @sobeys @voltaeffect Is there a deadline to register?'}","{'date': '11/16/2019, 19:05:53', 'full_text': 'This Friday we welcome \u2066@cathleencrudden\u2069 as our visiting speaker: https://t.co/O4VkwrreWG'}","{'date': '01/27/2020, 15:01:17', 'full_text': ""3 Minute Thesis has been heavily promoted on our channels over the past two weeks. If you're thinking of entering but are worried about presenting in English, attend the upcoming @DalhousieESL 3MT prep workshop. Learn more and register: https://t.co/NZWI6W1Tqu https://t.co/ej4et5zTcd""}","{'date': '01/30/2020, 14:12:33', 'full_text': 'Update https://t.co/3om1QsqrBY'}","{'date': '01/31/2020, 23:37:09', 'full_text': 'WVB: the Tigers drop the first set vs @aiglesbleus 23-25. #GoTigers #FearTheRoar'}"
