,DalhousieU,DalStudentUnion,DalSecurity,DalResidence
10,"{'date': '01/29/2020, 19:13:01', 'full_text': 'To celebrate the giving spirit of George Munro and Munro Day, the Growing Communities Series is inviting members of the #DalhousieU community to volunteer at the Loaded Ladle on February 4, 5, &amp; 6, 2020: https://t.co/JjunxzbWmw https://t.co/ndXwPTukgY'}","{'date': '01/30/2020, 19:12:21', 'full_text': 'RT @DalMCRT: 🚨Hey @DalhousieU students! Are you interested in being a Volunteer Medical Responder or Mental Health Volunteer? 🚨 Application…'}","{'date': '01/17/2020, 22:04:21', 'full_text': 'RT @DalPres: Humbled by the turnout at today’s welcome reception. Looking forward to events on Sexton, Carleton and @dalagriculture in the…'}","{'date': '01/22/2020, 12:55:06', 'full_text': ""Did you know the sweet potatoes we serve in on campus come from a local farmer? Check out this video from our last local food day: https://t.co/ihF15kvbBN\n\nHappening today - learn about our local Carrots from 4 - 6 p.m. in O'Brien Hall - menu available in all Dining Halls. https://t.co/fTG9tq3Y78""}"
11,"{'date': '01/29/2020, 16:24:04', 'full_text': 'Are you a high-achieving student with significant extracurricular accomplishments? Potential Rhodes Canada Scholar applicants are encouraged to attend an info session on February 4th! Details: https://t.co/IV52fYyRuy https://t.co/YwOVhZjfbU'}","{'date': '01/30/2020, 19:08:10', 'full_text': 'RT @DalGradStudies: Where can a graduate degree from @DAL_FASS take you? Hear from a panel of four FASS alumni who have gone on to successf…'}","{'date': '01/17/2020, 19:53:40', 'full_text': 'CAMPUS ALERT - Truro Campus closing today at 5:30 p.m. due to weather https://t.co/QsIGnsnMWh'}","{'date': '01/21/2020, 22:00:38', 'full_text': ""Coming tomorrow to your dining hall......CARROTS! 🥕🥕🥕\n\nDon't miss this local food day, with dishes like pulled pork with carrot, battered carrot with dill &amp; sunflower sauce, cream of carrot soup, and much more! Meet the Farmer Mark Sawler @ O'Brien from 4:30 - 6:30 p.m. https://t.co/43Eskv5i9j""}"
12,"{'date': '01/29/2020, 12:55:56', 'full_text': ""It's #BellLetsTalk Day! Here are 5 simple ways to help end the stigma that keeps too many who struggle with mental illness from seeking the help they need: https://t.co/d9IdAdvtwe (🏷 @workatdal)""}","{'date': '01/30/2020, 14:06:03', 'full_text': '✨  Make sure to check out the DSU Presidential Committee’s Frosty Folks Clothing Swap on February 3rd from 12:00pm - 3:00pm in SUB room 307! ✨ https://t.co/lnXiz5tnbc'}","{'date': '01/16/2020, 13:26:51', 'full_text': 'New donors welcome - maybe get in that late 2020 resolution. 🤷🏾\u200d♂️ Looking for\U0001fa78 donations... and they’re here on campus this week. @CanadasLifeline https://t.co/XwboMkzop3'}","{'date': '01/21/2020, 13:01:31', 'full_text': ""Hey residence students! Did you know you can stream your favourite television shows on any device, anywhere in Canada? And the best part is it's included for our residents! Find out more: https://t.co/n1ryrxdou7 https://t.co/Tbh0TD6Dwp""}"
13,"{'date': '01/28/2020, 23:18:02', 'full_text': 'Kick-off African Heritage Month with @DalBSAC at an evening of empowerment with @Reneehortonphd! ✨ https://t.co/7IioK4F5EO'}","{'date': '01/29/2020, 18:29:02', 'full_text': 'Community Closet opening soon! 🎉 Check out the launch party this Friday (Jan 31st) 12:30-3:30pm in the SUB Wellness room to get more information and chat with those involved in developing this awesome project! ✨ https://t.co/gYz8vkMp7X'}","{'date': '01/16/2020, 13:16:10', 'full_text': '@courtvizion Are your 18K friends happy or sad today? 😜 https://t.co/Q1aQCsm0qz'}","{'date': '01/20/2020, 16:01:12', 'full_text': ""It's going to be a sunny week! Looking to get out and enjoy the winter in Halifax? Did you know that you can go skating for FREE on the Emera Oval? Just head over to the Halifax Commons. They have free skate rentals, just bring your Photo ID! https://t.co/n48dG6mSdF ⛸️⛸️ 🌞 https://t.co/ZqpLGnnxwP""}"
14,"{'date': '01/28/2020, 20:43:01', 'full_text': ""Thinking about competing in this year's 3 Minute Thesis competition? @DalGradStudies invites you to hear from 2019's top three winners, who will share their tips for success. RSVP: https://t.co/JAp3YkLf6W ⏰ https://t.co/Is6pR6ciUW""}","{'date': '01/29/2020, 16:13:04', 'full_text': 'CKDU 88.1FM is celebrating 35 years of campus-community radio in Halifax with a totally tubular 80s dance party fundraiser! 🎉 📻 February 1st, 2020 - 10pm-1am in the SUB McInnis Room. More details here! https://t.co/z1EmG7uLSw https://t.co/pAfAo3Khkz'}","{'date': '01/15/2020, 23:00:48', 'full_text': 'Even back in 1959 the lot was full and it was tough to find parking on Studley campus! Get your parking permit here: https://t.co/cyuiwQ7SAu https://t.co/fzd3qk18mA'}","{'date': '01/14/2020, 12:45:05', 'full_text': 'What are you doing for lunch tomorrow? Stop by the Leadership Opportunities Fair for refreshments, a chance to win, and great on-campus opportunities! 11:30-2:30.   Halifax: LeMarchant Place Atrium // Truro: Riverview Room   https://t.co/lOcq3ZTrqu for more! https://t.co/Y5pjJ9NRob'}"
15,"{'date': '01/28/2020, 18:12:02', 'full_text': 'Seventy nine of a record 104 #DalhousieU varsity student-athlete Academic All-Canadians received their citations at the annual luncheon, honouring their success on and off their fields of play. 👟 (🏷 @DalTigers)\nhttps://t.co/rbE3QwIseX'}","{'date': '01/29/2020, 15:38:53', 'full_text': 'Come grab an Expo program at the DSU table - just outside the entrance of the McInnis Room! ✨ Get your bingo sheet filled out to enter a draw to win a $100 prepaid visa! 💸 https://t.co/u2sF2vaYtS'}","{'date': '01/15/2020, 16:30:55', 'full_text': 'Come say hi to us in the LMP atrium from now until 2:30 pm to learn more about our open DSA positions and how to win a new pair of @Apple Airpods! 😎🎶 The DalSAFE Ambassador job posting will be up until midnight on Sunday, apply through myCareer and the job ID 89864!! https://t.co/rpD1zY1SdP'}","{'date': '01/13/2020, 12:45:07', 'full_text': ""Looking for leadership opportunities on campus? You won't want to miss the Leadership Opportunities Fair - happening Wednesday from 11:30-2:30. Plus, drop by and you could WIN!  Halifax: LeMarchant Place Atrium // Truro: Riverview Room   Visit https://t.co/lOcq3ZTrqu for more. https://t.co/ztkRpGg6rK""}"
16,"{'date': '01/28/2020, 15:56:18', 'full_text': '""I kind of describe it as having a fog over you. And when you’re in the fog, you don’t know there’s a world outside."" #WeAreDal 52 weeks. 52 stories from the #DalhousieU community. This is Jay\'s: https://t.co/V3JrRbxMS7 (🏷 @Dal_Alumni) https://t.co/fv0D2WhHDk'}","{'date': '01/29/2020, 14:57:45', 'full_text': 'Today!! 11am-3pm - Come find out what opportunities there are to get involved on and off campus!! ✨❄ https://t.co/Xr4BCOkDii'}","{'date': '01/13/2020, 23:57:18', 'full_text': 'RT @DalhousieU: To share our solidarity and support all those affected by last week’s tragedy in Iran, universities across Canada will hold…'}","{'date': '01/09/2020, 22:15:05', 'full_text': 'Join us for the Leadership Opportunities Fair - Wed, Jan. 15 from 11:30 – 2:30. Learn about opportunities on campus from Residence, Food Services, Conference Services, Dal Security &amp; more! Halifax: LeMarchant Place Atrium // Truro: Riverview Room  Visit https://t.co/lOcq3ZTrqu https://t.co/qgr1QGm2Jq'}"
17,"{'date': '01/28/2020, 12:33:01', 'full_text': 'Join us at @dalagriculture TODAY for a welcome reception for Dr. Deep Saini, #DalhousieU’s 12th president and vice-chancellor. 🗓 (🏷 @DalPres) https://t.co/AFSCwFd7ra'}","{'date': '01/28/2020, 17:20:04', 'full_text': ""Looking to get involved but you aren't sure how? Join the Presidential Committee! This is a place to support on-going DSU projects, get support and feedback on your own projects, or get more information about the opportunities available to you! Email dsupres@dal.ca for info!""}","{'date': '01/12/2020, 14:57:58', 'full_text': 'Due to weather and road conditions Dalhousie Agriculltural Campus closing for the day Sunday January 12 https://t.co/77BnGByq1E'}","{'date': '12/19/2019, 19:10:06', 'full_text': 'Just a reminder, the Residence Office will be closed at 12pm on Dec. 24, reopening on Jan. 2. Have a great holiday break! ❄️⛄ https://t.co/vqS9JemlZI'}"
18,"{'date': '01/27/2020, 23:36:01', 'full_text': 'Do you dream of studying abroad? Apply by January 31st: https://t.co/x9FUrs1IEV 🌍 https://t.co/2S9piG5B0R'}","{'date': '01/28/2020, 13:30:09', 'full_text': 'Happening tonight in the Grawood - following an afternoon songwriting workshop Craig Cardiff will be performing, with a showcase of student talent! Check our facebook event for more details: https://t.co/TbgUwoPfqA 🌼🎶 https://t.co/aGdaYVIXAL'}","{'date': '01/12/2020, 14:57:57', 'full_text': 'Due to weather and road conditions Dalhousie Agriculltural Campus closing for the day Sunday January 12 https://t.co/tsrXeTCvmP'}","{'date': '12/16/2019, 19:15:06', 'full_text': 'Make sure you register for your Live Stream account from Eastlink before you head home for the holidays! You can enjoy all your favourite channels and shows from any device, anywhere in Canada. \n\nRegister here: https://t.co/gW4Pt9yXsg https://t.co/FSWMtsvTah'}"
19,"{'date': '01/27/2020, 20:34:02', 'full_text': ""You're invited! 📨 https://t.co/swveqzX47u""}","{'date': '01/27/2020, 20:29:02', 'full_text': 'Community Closet opening soon! 🎉 Check out the launch party this Friday (Jan 31st) 12:30-3:30pm in the SUB Wellness room to get more information and chat with those involved in developing this awesome project! ✨ https://t.co/wdKzjBzNOh'}","{'date': '01/12/2020, 14:51:35', 'full_text': 'RT @DalLibraries: The MacRae Library is closing now due to icy sidewalk and road conditions. Stay safe, everyone! @dalagriculture @memacinn…'}","{'date': '12/03/2019, 13:13:42', 'full_text': 'RT @darthCoder268: Christmas Tree @dalresidence  Gerard Hall 😍. @ Gerard Hall https://t.co/RrmuWtvabo'}"
20,"{'date': '01/27/2020, 19:13:34', 'full_text': ""@nicblinn Thanks for sharing your experience. I'll pass this along to the appropriate folks. If you'd like to dm your contact info, I can pass that along as well.""}","{'date': '01/27/2020, 19:45:43', 'full_text': '@CraigCardiff is coming to Dal! Get hyped for a FREE songwriting workshop and show with this incredible musician.\n\nWorkshop: Jan. 28 at the SUB from 2pm-5pm\n\nConcert: Jan. 28 at the @Grawood from 6pm-8pm\n\nLearn more: https://t.co/twLEyTB85x\n\n@DalStudentLife https://t.co/VCnnb0wXCa'}","{'date': '01/12/2020, 13:55:45', 'full_text': 'RT @nsemo: EMO is monitoring weather conditions. Snowfall, freezing rain, rainfall warning in effect. Continue to monitor alerts and foreca…'}","{'date': '11/11/2019, 13:01:28', 'full_text': 'Today, we pause to honour the sacrifices of the many individuals who have served and given their lives during wartime. #LestWeForget https://t.co/HP41Hzp14j'}"
21,"{'date': '01/27/2020, 17:38:55', 'full_text': 'Have you entered the @yourDalCard Passport contest? You could with a prize pack + a $100 DalCard Deposit! 💰 Details: https://t.co/24nMrlQsgt https://t.co/vfcrw6mwsy'}","{'date': '01/27/2020, 19:17:52', 'full_text': '@CraigCardiff @DalhousieU @DalStudentLife @thecraigcardiff *Note that this workshop is for Dalhousie students only*'}","{'date': '01/09/2020, 21:41:40', 'full_text': 'RT @DalIntcentre: We’re sharing this on behalf of the Dalhousie Iranian Student Society. Our thoughts are with you. https://t.co/qU6bXU1mTQ'}","{'date': '10/29/2019, 19:22:48', 'full_text': 'Coming November 1! #DalhousieU residents will enjoy more premium sports &amp; movie channels in TV lounges, enhanced dedicated WiFi, and Live &amp; OnDemand streaming from popular TV networks. Check out https://t.co/vvqsQwT5Ag for more info and to get your streaming account. https://t.co/LWyCPxE5ur'}"
22,"{'date': '01/27/2020, 14:43:08', 'full_text': '#DalhousieU is home to four of the newest recipients of funding from the Government of Canada for their innovative health research: https://t.co/4yyRM9CMlo (🏷 @DalVPR) #DALinnovates https://t.co/xU7g7NvuGa'}","{'date': '01/27/2020, 19:10:03', 'full_text': 'Learn self defence basics in a closed space for queer, trans, and non-binary Dalhousie and Kings students!\n \nSelf Defence Class Level 1 will be held from 6:00pm-9:00pm in DSU Room 303 on Thurs, Feb. 6 AND Wed, Feb. 12. RSVP to survivorsupport@dal.ca\n@southhousehalifax https://t.co/5f2kL0jqZ1'}","{'date': '01/09/2020, 09:57:26', 'full_text': 'Shout out to our fantastic snow removal crews across all campuses! They worked all through the night so we could be ready for this morning.  Opening on schedule today. https://t.co/1tjTK4HCeh'}","{'date': '10/25/2019, 19:27:51', 'full_text': 'Happy #Diwali to all of our residence students celebrating this weekend @DalhousieU! #FestivalOfLights #DalSweetDal https://t.co/EIx8LT0JP4'}"
23,"{'date': '01/27/2020, 13:13:07', 'full_text': 'Harlow building OPEN, Collins Building closed on Ag Campus https://t.co/cubWPvuojG'}","{'date': '01/27/2020, 18:12:04', 'full_text': ""⚖️ The Social Activists Law Students' Association is hosting the IDEALaw Conference on Law, Social Activism and the Media. ⚖️ Panels and workshops will cover areas such as environmental racism, sexual violence, and youth justice. More info here! https://t.co/cb3E0t1KG1 https://t.co/RrUSATpyFI""}","{'date': '01/09/2020, 01:36:48', 'full_text': '@Humptydoompty Get a good night’s sleep... we’re on track to open!  See you in the AM. :) https://t.co/4Vc1f5OfcM'}","{'date': '10/03/2019, 14:15:35', 'full_text': 'RT @DalBookstore: Come to the Dalhousie Arts Centre next Thursday, Oct. 10 and lend your voice to The Big Sing! This event starts at 2:30pm…'}"
24,"{'date': '01/27/2020, 10:59:49', 'full_text': 'Harlow and Collins Buildings closed today on Ag Campus https://t.co/G94gCmMcXM'}","{'date': '01/27/2020, 17:04:04', 'full_text': ""Interested in joining DSUSO to share your favourite recipe in a peer-skillsharing cooking class? 🍳 Get in touch with them at https://t.co/1nRrVgwcLQ if you're interested or have any questions! https://t.co/XtHwuO6NPF""}","{'date': '01/08/2020, 13:03:49', 'full_text': 'Halifax campuses are closed - that means we will not be giving access to buildings or study spaces or offices.'}","{'date': '10/03/2019, 14:15:16', 'full_text': ""RT @DalhousieU: #TBT to Mi’kmaq History Month 2016 when we permanently installed the Mi’kmaq Grand Council Flag on #DalhousieU's Studley Ca…""}"
25,"{'date': '01/26/2020, 19:28:32', 'full_text': 'It was a packed Council Chambers on January 20th for the @DalBSAC discussion about peace and justice in a time of trouble. 👏\nhttps://t.co/0Hup9c6lDX'}","{'date': '01/27/2020, 14:06:02', 'full_text': '✨  Make sure to check out the DSU Presidential Committee’s Frosty Folks Clothing Swap on February 3rd from 12:00pm - 3:00pm in SUB room 307! ✨ https://t.co/fEQfZkomJC'}","{'date': '01/08/2020, 12:48:50', 'full_text': '@moon_queen_mo https://t.co/muFWARZZc3'}","{'date': '09/29/2019, 23:13:49', 'full_text': ""RT @DalhousieU: ICYMI: Don't forget to wear your orange shirt tomorrow. #DalhousieU will host its 10th-annual Mawio'mi on the Studley Quad.…""}"
26,"{'date': '01/26/2020, 14:08:01', 'full_text': 'The College of Continuing Education at #DalhousieU invites faculty and staff to attend their workshop ""Fostering Inclusive Personal and Team Communications in Workplace Cultures."" For cost and details: https://t.co/4V6gDwMPSy https://t.co/Qin17N6W98'}","{'date': '01/25/2020, 17:04:01', 'full_text': ""Interested in joining DSUSO to share your favourite recipe in a peer-skillsharing cooking class? 🍳 Get in touch with them at https://t.co/1nRrVgwcLQ if you're interested or have any questions! https://t.co/MAPiCRK3cg""}","{'date': '01/08/2020, 11:03:04', 'full_text': '@adamundefined https://t.co/FQ1hGvK8CS'}","{'date': '09/17/2019, 15:47:57', 'full_text': 'RT @DalStudentLife: Calling all Sexton students! Free yoga is happening TONIGHT (and every Tuesday) at 8pm. Brought to you by the Dalhousie…'}"
27,"{'date': '01/25/2020, 21:49:02', 'full_text': 'On January 29th, we’re hosting #dalTHANKS to celebrate the thousands of #DalhousieU alumni and friends who make a difference at Dal. Swing by one of the four locations to join the fun! Details: https://t.co/x0WnMynTOP 👏 https://t.co/9SyI7sx8Bq'}","{'date': '01/24/2020, 18:12:03', 'full_text': ""⚖️ The Social Activists Law Students' Association is hosting the IDEALaw Conference on Law, Social Activism and the Media. ⚖️ Panels and workshops will cover areas such as environmental racism, sexual violence, and youth justice. More info here! https://t.co/cb3E0t1KG1 https://t.co/zVPRRFLUQM""}","{'date': '01/08/2020, 09:48:05', 'full_text': 'CAMPUS ALERT - Halifax and Truro campuses closed Wednesday due to weather https://t.co/EZqIitq32v'}","{'date': '09/16/2019, 14:56:34', 'full_text': 'RT @DalhousieU: As Hurricane Dorian whipped its way towards Nova Scotia late last week, a team of individuals from across the #DalhousieU c…'}"
28,"{'date': '01/25/2020, 12:45:28', 'full_text': 'Our best wishes to all who are celebrating the #LunarNewYear!\nhttps://t.co/dmmcEht9Fe'}","{'date': '01/23/2020, 17:26:02', 'full_text': 'CKDU 88.1FM is celebrating 35 years of campus-community radio in Halifax with a totally tubular 80s dance party fundraiser! 🎉 📻 February 1st, 2020 - 10pm-1am in the SUB McInnis Room. More details here! https://t.co/z1EmG7uLSw https://t.co/SHoWwuzIbc'}","{'date': '01/05/2020, 16:20:50', 'full_text': 'There is also no overnight parking on campuses. We will be out enforcing this so snow clearing continues without interruption in our parking lots. Vehicles maybe be towed at the owner’s expense. https://t.co/wCvlvoG4Aq'}","{'date': '09/11/2019, 20:01:02', 'full_text': ""RT @DalhousieU: From stats and facts, to places and faces, there are a ton of things you'll have to remember during the school year! 🤦🏻\u200d♀️…""}"
29,"{'date': '01/24/2020, 22:14:01', 'full_text': 'Great news for Canadian students! https://t.co/9sng30XX5K'}","{'date': '01/23/2020, 17:04:02', 'full_text': ""Interested in joining DSUSO to share your favourite recipe in a peer-skillsharing cooking class? 🍳 Get in touch with them at https://t.co/1nRrVgwcLQ if you're interested or have any questions! https://t.co/OUkuFos26f""}","{'date': '01/04/2020, 20:33:54', 'full_text': '@DalIntcentre @DalHRES We may also have squeezed in a #DalSAFE app plug too!!  😉'}","{'date': '09/11/2019, 16:25:33', 'full_text': 'RT @DalStudentLife: Have you heard of the Fire and Water Festival? Join this amazing cultural and artistic festival Saturday, Sept 14! Fire…'}"
30,"{'date': '01/24/2020, 17:28:45', 'full_text': 'New year, new goals. The @DalStudentLife blog asked #DalhousieU students what their resolutions are for 2020 and, more importantly, how are they doing with them so far? 🤷🏻\u200d♀️https://t.co/ISjLewTKtR'}","{'date': '01/23/2020, 14:06:02', 'full_text': '✨  Make sure to check out the DSU Presidential Committee’s Frosty Folks Clothing Swap on February 3rd from 12:00pm - 3:00pm in SUB room 307! ✨ https://t.co/C3c0nHITNc'}","{'date': '12/28/2019, 14:54:14', 'full_text': 'RT @DalIntcentre: Thanks \u2066@DalSecurity\u2069 for joining us at Paint Night last night! Your support is appreciated! \u2066@DalStudentLife\u2069 https://t.…'}","{'date': '09/11/2019, 11:31:41', 'full_text': 'RT @DrIvanJoseph: The conversation you have with yourself about yourself matters. Be kind to yourself. https://t.co/B7sP8mwQRO'}"
