,DalManagement,EventsAtDal,DalPres
35,"{'date': '11/20/2019, 17:08:10', 'full_text': 'Congratulations to our associate dean (academic) Mike Smit, recipient of the Lloyd Fraser Award for Outstanding Senate Leadership. https://t.co/CPTYkC9lvb'}","{'date': '10/05/2017, 15:35:06', 'full_text': 'Caitlyn and Natalie are having a great time visiting our clients at @dalagriculture today! #eventprofs https://t.co/B5kF7FybhZ'}","{'date': '01/15/2020, 12:49:31', 'full_text': 'Greetings @dalhousieu and our community! Thank you for the warm welcome and kind words from so many of you – our faculty, staff, students, community, friends... Incredibly excited and eager to meet you all – let’s stop and say “hello” whenever our paths cross. https://t.co/kZj3I6BT0m'}"
36,"{'date': '11/19/2019, 22:02:36', 'full_text': 'RT @tonyrwalker1: Interviewed by @HarryForestell Host CBC News-NB@6 yesterday about our recent benthic debris study published last week and…'}","{'date': '10/04/2017, 19:43:21', 'full_text': 'Have you heard? You can now book your #Truro summer stay online: https://t.co/VILfNdzLzf @StayAtDal https://t.co/Oo5GM3qZR0'}","{'date': '01/13/2020, 21:51:26', 'full_text': 'RT @DalhousieU: To share our solidarity and support all those affected by last week’s tragedy in Iran, universities across Canada will hold…'}"
37,"{'date': '11/19/2019, 16:01:12', 'full_text': ""RT @CranstonAnna: I'm sure there are some great FoM students nominees @DalManagement https://t.co/36AvRpCTm4""}","{'date': '10/03/2017, 18:10:17', 'full_text': 'Caitlyn, our Conference Coordinator, is having a great time in @NLtweets with fellow @CuccoaOrg colleagues. #eventprofs https://t.co/L1GGnvNcrL'}","{'date': '01/13/2020, 12:26:34', 'full_text': '@DalhousieDad Thank you @DalhousieDad. Looking forward to working with you all.'}"
38,"{'date': '11/15/2019, 21:12:50', 'full_text': 'RT @BlackBusinessNS: Congratulations to Nick Stoddard from Dart Frog Events on winning the 2019 InMotion pitch competition, presented by BB…'}","{'date': '09/11/2017, 14:19:53', 'full_text': ""ICYMI: we're hiring a #DalhousieU student to fill a part time role in our office. View job ID 65837 on myCareer. https://t.co/ODyy7tqBNv""}","{'date': '01/13/2020, 12:24:14', 'full_text': '@BJessomePR @AshburnGolfClub Thank you @AshburnGolfClub. Can’t wait!'}"
39,"{'date': '11/15/2019, 19:26:46', 'full_text': 'RT @Dal_Alumni: This Philanthropy Day, and every day, we are reminded just how special #DalhousieU donors are. For the life-changing opport…'}","{'date': '09/06/2017, 15:48:29', 'full_text': 'Our office is hiring a part-time student Sales Research Assistant! View job ID 65837 on @DALCLDC myCareer. https://t.co/hKE8G00U3w'}","{'date': '01/13/2020, 12:22:29', 'full_text': '@roahmerdad It was indeed wonderful to meet you, @roahmerdad. I was inspired that you are pursuing your grad studies @DalhousieU while raising two boys!'}"
40,"{'date': '11/14/2019, 21:41:31', 'full_text': 'RT @tonyrwalker1: Study estimates more than 1.8 million pieces of garbage are strewn over bottom of Bay of Fundy /via @globeandmail https:/…'}","{'date': '09/04/2017, 13:58:34', 'full_text': 'Wishing all returning @DalResidence students checking in today a wonderful semester and year ahead. #DalSweetDal'}","{'date': '01/12/2020, 18:09:09', 'full_text': 'I look forward to beginning my time at #DalhousieU this Wednesday. See you soon. https://t.co/AOOICc9gaB'}"
41,"{'date': '11/14/2019, 21:40:53', 'full_text': 'RT @Hunter_dal: Sign up for our webinars to learn more about the #onlineblended MBA, MPA(M) and MIM programs at Dal  @IPACNovaScotia @FYN_F…'}","{'date': '08/30/2017, 11:44:01', 'full_text': ""Next summer?! It's hard to believe THIS summer is coming to an end! https://t.co/SFPh7OTmk3""}","{'date': '01/09/2020, 02:33:50', 'full_text': 'My heartfelt condolences to all impacted by this terrible tragedy. https://t.co/2DpEm2M9Pg'}"
42,"{'date': '11/14/2019, 21:40:21', 'full_text': 'RT @tonyrwalker1: National Post article about our new study published today https://t.co/RMi10ps1i3 \n1.8 million items of garbage strewn ov…'}","{'date': '08/28/2017, 14:26:30', 'full_text': 'Feeling the love this morning while reflecting on our Shirreff Hall 2017 couples: https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/xtZUdJUXF9'}","{'date': '12/19/2019, 19:56:36', 'full_text': '@DalhousieU annual carol sing! Thank you to our incredibly talented @FSPADal Fountain School of Performing Arts students and to all our community who joined in. Happy holidays! https://t.co/q9Koi1bOe6'}"
43,"{'date': '11/13/2019, 20:40:30', 'full_text': ""RT @Dal_Alumni: Congrats, Nick Stoddard (BMgt'15) - way to go! https://t.co/r69efUx9Ac""}","{'date': '08/26/2017, 13:22:00', 'full_text': ""While it's hard to believe our accommodation season has come to an end, we're excited to welcome new residence students next Saturday! https://t.co/eCTbd2rlpY""}","{'date': '12/19/2019, 11:24:14', 'full_text': 'Fantastic time at the 5th annual Dal International Students holiday dinner. Thank you @DalIntcentre @Dal_Alumni and the Women’s Division for your support in making it happen, and Happy Holidays to all! https://t.co/rCm0nY1uX4'}"
44,"{'date': '11/12/2019, 21:36:13', 'full_text': 'Louise Arbour served as chief prosecutor for the first-ever criminal tribunal to result in indictment for war crimes of a sitting head of state. Hear her speak on November 23. Tickets are on sale until November 15. https://t.co/hrqsac0IqN'}","{'date': '08/14/2017, 12:32:49', 'full_text': 'RT @meethalifax: A warm #Halifax welcome to all attending the 14th International Conference on Magnetic Resonance Microscopy @EventsAtDal @…'}","{'date': '12/18/2019, 18:20:52', 'full_text': 'Check out the (final!) From the Interim President’s Desk email. Keep an eye out for regular Across the Provost’s Desk emails again in the new year. https://t.co/aeMQ8cB4rJ'}"
45,"{'date': '11/12/2019, 21:34:44', 'full_text': 'RT @Dal_Alumni: Ensure alumni from your faculty get recognized: nominate outstanding #DalAlumni for the 2020 Aurum Awards! @dalfcs @DalMana…'}","{'date': '08/11/2017, 01:01:06', 'full_text': 'Hosting an event at @dalagriculture? Be sure to visit the sections of the Berlin Wall on display, minutes from our event spaces. https://t.co/g0B7oi0Kwl'}","{'date': '12/18/2019, 16:05:17', 'full_text': 'I hope to see you there! https://t.co/6cZfsbIARJ'}"
46,"{'date': '11/05/2019, 14:15:19', 'full_text': 'Our Management Without Borders students are working on projects to measure the success of the Windsor-West Hants consolidation and help increase voter turnout in \nKings County. https://t.co/ejgu9BoQur'}","{'date': '08/05/2017, 16:19:36', 'full_text': 'Available from May to August each year, Shirreff Hall offers classic surroundings and contemporary service: https://t.co/Vv9ybhxSWz https://t.co/PLI689NmSi'}","{'date': '12/16/2019, 12:31:52', 'full_text': 'What an amazing group. And none more so than @DalhousieU Board Chair Candace Thomas! Proud to work with her, proud to know her. https://t.co/yWqSef2GIz'}"
47,"{'date': '11/04/2019, 14:07:25', 'full_text': 'RT @vivianhoward: A new issue of the YA Hotline has just been published!  Issue 110: Democracy 2.0 explores global issues from a local cont…'}","{'date': '08/04/2017, 19:45:19', 'full_text': 'Note: our office is closed on Monday for #NatalDay. Which begs the question - what is Natal Day all about, anyway? https://t.co/NL32zoxrvv https://t.co/PRJLWZUq9n'}","{'date': '12/15/2019, 20:14:49', 'full_text': 'RT @SenatorWanda: What an incredible group of women named as #WomenOfTheYear2019! Congratulations to all and a special shout out to my sist…'}"
