,DalArtsCentre,Dal_CSS,DalIntcentre
15,"{'date': '01/16/2020, 13:31:03', 'full_text': 'On sale today at noon, #Halifax! What a great opportunity for fans of the *original* Twitty and Lynn! To purchase: https://t.co/gqPE5JKgNE https://t.co/aNqpIlGJSW'}","{'date': '03/01/2018, 18:15:19', 'full_text': 'RT @dalfcs: Have you heard about the REDspace AR Hackathon happening this weekend in ShiftKey Labs? Lots of prizes and support. Check it ou…'}","{'date': '01/03/2020, 13:39:41', 'full_text': 'International student orientation has started with a great game of Simon Says! #welcometoDalhousie \u2066@DalStudentLife\u2069 \u2066@DalhousieU\u2069 https://t.co/wH4NBFmytR'}"
16,"{'date': '01/15/2020, 13:46:43', 'full_text': ""It's an exciting week at @DalhousieU as we welcome the new @DalPres, Dr. Deep Saini! https://t.co/Ev04aHcaHr""}","{'date': '02/21/2018, 19:01:49', 'full_text': 'For all those saying students all go on vacation during reading week. https://t.co/7apFQqKgEs'}","{'date': '01/02/2020, 18:44:51', 'full_text': 'Students are back and we’re so happy. Welcome to Dalhousie! \u2066@DalStudentLife\u2069 \u2066@DalhousieU\u2069 https://t.co/HGYzBxL63V'}"
17,"{'date': '01/14/2020, 17:04:53', 'full_text': 'RT @SonicConcerts: #Halifax! @jenngrantmusic has added special guests @donbrownrigg &amp; @kimharrismusic to her show at the Rebecca Cohn on Fr…'}","{'date': '02/19/2018, 15:30:41', 'full_text': 'RT @RaghavSampangi: Fantastic experience teaching the first #TeachersLearningCode session at Halifax!\nSeen here are our fabulous participan…'}","{'date': '12/28/2019, 14:51:54', 'full_text': 'Thanks \u2066@DalSecurity\u2069 for joining us at Paint Night last night! Your support is appreciated! \u2066@DalStudentLife\u2069 https://t.co/DbSG2B0uTd'}"
18,"{'date': '01/13/2020, 18:00:30', 'full_text': 'Tix to A Salute to Conway Twitty &amp; Loretta Lynn, featuring Tre Twitty &amp; Tayla Lynn, go on sale at noon on Jan 16! Join us in the Rebecca Cohn Auditorium on Mar 1 to hear all of your favourite Conway and Loretta songs as sung by their grandchildren!#Halifax https://t.co/FS4NPLSeXN'}","{'date': '02/10/2018, 16:50:53', 'full_text': 'RT @shiftkeylabs: Off to an amazing start at #shiftkeyhack Android. 80+ strong! @dalfcs @Dal_CSS https://t.co/p39N6IKiLH'}","{'date': '12/26/2019, 12:49:27', 'full_text': 'RT @DalhousieU: Happy Kwanzaa to all who will begin celebrating today! 🍏 https://t.co/DlkDYOHgfK'}"
19,"{'date': '01/12/2020, 17:09:47', 'full_text': 'RT @Dal_Alumni: A reminder to our community that the 29th Annual Student Musicale has been postponed today due to weather. Please join us o…'}","{'date': '02/09/2018, 12:26:49', 'full_text': 'RT @shiftkeylabs: Great turnout for our #firebase tutorial this evening. Thanks everyone! @dalfcs https://t.co/4OJImlu6pU'}","{'date': '12/25/2019, 15:58:37', 'full_text': 'RT @DalhousieU: Merry Christmas from #DalhousieU! 🎁 https://t.co/0LDbd2mHQw'}"
20,"{'date': '01/12/2020, 13:59:54', 'full_text': 'RT @NSMassChoir: We have a number of new original songs that we will showcase under the direction of @downey_shawn next Saturday at the Dr.…'}","{'date': '02/09/2018, 12:26:30', 'full_text': 'Rocking that Snowball look. https://t.co/zDWrhtpC3o'}","{'date': '12/24/2019, 21:13:00', 'full_text': 'Happy holidays from the International Centre! We’re building a gingerbread village - and enjoying lots of sugary treats! https://t.co/DejepxGUfB'}"
21,"{'date': '01/10/2020, 17:27:59', 'full_text': ""RT @DalhousieU: Please note a change of venue for tomorrow's vigil to remember those who lost their lives in Wednesday's tragic airplane di…""}","{'date': '02/07/2018, 12:39:16', 'full_text': ""We're ready! https://t.co/VBSJNitfmG""}","{'date': '12/24/2019, 20:34:23', 'full_text': 'Drop by the \u2066@DalIntcentre\u2069 for a holiday treat! We have cookies and hot chocolate and gingerbread houses! And we’re here until 7:00! https://t.co/Z7RcBhj3Op'}"
22,"{'date': '01/10/2020, 17:27:44', 'full_text': 'RT @FSPADal: Please note that the Student Musicale (presented by the Dal Alumni Association) scheduled for this Sunday @ 3:00 pm is now can…'}","{'date': '02/05/2018, 12:18:01', 'full_text': 'RT @dalfcs: This weekend is the @Dal_CSS &amp; @shiftkeylabs Android Hackathon. Registrations are filling up so make sure to grab your spot!\nht…'}","{'date': '12/24/2019, 20:10:01', 'full_text': 'We have cookies! We have hot chocolate! And we have gingerbread houses! Drop by the \u2066@DalIntcentre\u2069 for a treat - any time between now and 7:00! https://t.co/NYjElQN4az'}"
23,"{'date': '01/08/2020, 13:31:24', 'full_text': 'RT @DalSecurity: Halifax campuses are closed - that means we will not be giving access to buildings or study spaces or offices.'}","{'date': '01/24/2018, 12:40:23', 'full_text': 'We love to see CSS executives featured! https://t.co/Ws2knkYFSs'}","{'date': '12/23/2019, 21:09:03', 'full_text': 'RT @OfficeofANSA: From Dec. 26 to Jan. 1, many people of African descent are celebrating Kwanzaa to honour their African Heritage.\nKwanzaa…'}"
24,"{'date': '01/08/2020, 13:31:21', 'full_text': ""RT @SymphonyNS: It's a winter wonderland outside today! ☃️\nOur admin office will be closed due to the weather, but we'll be back tomorrow a…""}","{'date': '01/08/2018, 21:42:17', 'full_text': 'RT @dalfcs: This is an awesome resource for students joining us this semester. Good luck in all your classes!\nhttps://t.co/8EILLXe5DC'}","{'date': '12/20/2019, 17:41:02', 'full_text': 'The elves have arrived at Risley! \u2066@DalSecurity\u2069 \u2066@DalhousieU\u2069 https://t.co/JSL0fEnFBe'}"
25,"{'date': '01/08/2020, 13:30:16', 'full_text': 'Back by popular demand! Legends of Motown is a 16-piece cast of singers and musicians performing all your favourite songs of the Motown era. To purchase tickets to their March 28 show in the Rebecca Cohn Auditorium: https://t.co/gqPE5JKgNE #Halifax https://t.co/HbPhtRT3GJ'}","{'date': '12/20/2017, 01:53:56', 'full_text': 'RT @DalDCSI: 📢📢📢📢\nJust a quick reminder that tomorrow Wednesday, Dec 20 is the last day to submit extended abstracts/ full... https://t.co/…'}","{'date': '12/19/2019, 20:38:17', 'full_text': 'Working with this great group is so much fun! Many many gift bags were packed this afternoon - absolutely awesome! @DalhousieU @DalStudentLife https://t.co/YICUHFp8JY'}"
26,"{'date': '01/08/2020, 11:24:45', 'full_text': 'Dalhousie University, including the Arts Centre, will be closed today due to weather conditions. Tickets can be purchased online during this time: https://t.co/gqPE5JKgNE #Halifax https://t.co/rs81hqL1uZ'}","{'date': '12/19/2017, 21:37:42', 'full_text': 'RT @DalLibraries: Happy end of exams! https://t.co/Iw7Z1iROBE'}","{'date': '12/19/2019, 19:13:00', 'full_text': 'The International Centre and Communication elves are busy, busy, busy! https://t.co/EaDXwrzFE7'}"
27,"{'date': '01/07/2020, 16:07:00', 'full_text': 'The Bay City Rollers starring Les McKeown join us in the Rebecca Cohn Auditorium on March 4, presented by @BDiamondProd. To purchase tickets: https://t.co/gqPE5JKgNE #Halifax https://t.co/6aoLS9B24z'}","{'date': '12/09/2017, 21:25:59', 'full_text': 'RT @dalfcs: We had over 100 female high school students attend our Women in Tech Day on November 24th. Check out these awesome pictures!\nht…'}","{'date': '12/19/2019, 11:42:44', 'full_text': 'RT @DalPres: Fantastic time at the 5th annual Dal International Students holiday dinner. Thank you @DalIntcentre @Dal_Alumni and the Women’…'}"
28,"{'date': '01/06/2020, 15:09:21', 'full_text': 'Talk about giving us some chills! The @scottishfiddle is coming to the Rebecca Cohn Auditorium on April 6, #Halifax! Help them celebrate their 40th anniversary in style (while wearing your best tartan duds): https://t.co/gqPE5JKgNE https://t.co/ekJNyuBB1E'}","{'date': '12/08/2017, 21:08:18', 'full_text': 'RT @dalfcs: Thanks @OzgeYeloglu for spending the time to come and inspire our students this afternoon @microsoftcanada @Dal_Alumni https://…'}","{'date': '12/19/2019, 11:19:58', 'full_text': 'RT @DalhousieU: #DalhousieU invited its community to donate funds to support the 5th Annual International Student Holiday Dinner, surpassin…'}"
29,"{'date': '01/05/2020, 15:01:09', 'full_text': 'RT @NSMassChoir: Happy First Sunday of 2020! We are less than two weeks away from our Tribute Concert for Dr. Martin Luther King Jr. « The…'}","{'date': '12/07/2017, 00:44:05', 'full_text': '@AtlSecCon Any deals for @dalfcs students? :)'}","{'date': '12/12/2019, 23:44:04', 'full_text': 'RT @DalhousieU: Are you an international student? 🌍 @DalIntcentre wants to hear about your experience. Complete the International Student B…'}"
30,"{'date': '01/03/2020, 19:12:14', 'full_text': '#Halifax! Join us in the Rebecca Cohn Auditorium on February 29 at 2:00pm or 6:00pm for @MinipopKids Live! The Bright Lights Tour. To purchase: https://t.co/gqPE5JKgNE https://t.co/XDwO9cL0Jl'}","{'date': '12/07/2017, 00:42:45', 'full_text': 'RT @DalWiTS: December 8 from 2:30-3:30 drop-in to ShiftKey Labs to meet Ozge Yeloglu, Chief Data Scientist at Microsoft Canada... https://t…'}","{'date': '12/10/2019, 00:12:39', 'full_text': 'RT @DalhousieU: International Education Week 2019 at the @DalIntcentre included a meet and greet, a cultural village, and a Christmas tree…'}"
31,"{'date': '01/02/2020, 13:13:14', 'full_text': 'We are back at it, #Halifax! Our first show of the year is Bee Gees Gold: The Ultimate Bee Gees Tribute, presented by @VaughnCoEnt, on January 12. To purchase: https://t.co/gqPE5JKgNE https://t.co/6HiSoxWbJ4'}","{'date': '12/07/2017, 00:41:31', 'full_text': ""RT @DalDCSI: Did you know you can submit more than one abstract? We can't wait to see all the exciting research and project ideas you are w…""}","{'date': '12/07/2019, 01:54:57', 'full_text': 'Great prizes for completing the ISB - $1,000 $500 $100 $100 $100 $100 $100 Be Heard https://t.co/2AdxCFwClY'}"
32,"{'date': '01/01/2020, 21:54:48', 'full_text': 'RT @NSMassChoir: Happy New Year to our fans, friends and families near and far! We hope to see you all on January 18 @DalArtsCentre for our…'}","{'date': '11/28/2017, 21:03:05', 'full_text': 'RT @RaghavSampangi: @dalfcs @Dal_CSS @DalCSGS @DalWiTS https://t.co/gPauWTM7jQ'}","{'date': '12/06/2019, 10:14:07', 'full_text': 'RT @DalGlobalHealth: Congratulations!  You win twitter today! What a great story.  Good luck finding a venue for everyone. 🍁❤️🇨🇦☮️ https://…'}"
33,"{'date': '12/24/2019, 12:27:27', 'full_text': 'Have a wonderful holiday season, #Halifax! We will be back at it with regular hours on January 2 https://t.co/DFmafK2V3a'}","{'date': '11/25/2017, 20:43:04', 'full_text': 'RT @ritapurity: Dal Women in tech day was awesome with over 125 grade 11&amp;12 girls. One said 2 me “you look like us” @dalfcs @Dal_CSS https:…'}","{'date': '12/03/2019, 17:57:17', 'full_text': 'RT @DalhousieU: Former federal cabinet minister and #DalhousieU Commerce alum @scottbrison appointed as university chancellor. Read the ful…'}"
34,"{'date': '12/20/2019, 14:10:19', 'full_text': ""We have four shows this weekend and then we close for the holidays! Our last couple of shows are Cape Breton's own @BarraMacNeils who are sharing their East Coast Christmas with us on December 22 at 3:00pm &amp; 7:30pm, presented by @BDiamondProd. #Halifax https://t.co/U8oAssGW2u""}","{'date': '11/17/2017, 20:46:19', 'full_text': 'Getting ready for #Snowball https://t.co/EyZTj4OLU2'}","{'date': '12/02/2019, 22:34:22', 'full_text': ""This exam season, if you're looking for a spot to study on campus, check out the Quiet Study Space hours at the @DalIntcentre https://t.co/7Nk4LEi7pX""}"
35,"{'date': '12/20/2019, 13:31:22', 'full_text': 'RT @FSPADal: It was a wonderful carol singing event yesterday, and our students and faculty did a fabulous job leading!   Thank-you to ever…'}","{'date': '11/14/2017, 12:15:00', 'full_text': ""@AlphaDogGames @UbisoftCanada reminder than our Game Jam is this upcoming weekend! We'd love to have professional game developers there to network with current undergraduates.\nhttps://t.co/sYeZNQI42j""}","{'date': '11/27/2019, 23:57:21', 'full_text': 'Wonderful evening at the @DalIntcentre - decorating our Christmas Tree. A big shout out to our students from @FSPADal for the beautiful pieces they played tonight! https://t.co/BbHfXgejEc'}"
36,"{'date': '12/19/2019, 19:03:24', 'full_text': 'RT @rosecousins: SEE YOU THERE!! https://t.co/2kXI8DwwmM'}","{'date': '11/09/2017, 02:32:55', 'full_text': 'RT @ritapurity: Excellence and Inclusion are NOT mutually exclusive...#GS11NA #DiversityAndInclusion'}","{'date': '11/23/2019, 15:21:39', 'full_text': 'It’s winter clothing give away time at the \u2066@DalIntcentre\u2069 - drop by to find something to keep you warm! \u2066@DalStudentLife\u2069 https://t.co/yFu6QLvnmx'}"
37,"{'date': '12/19/2019, 14:45:02', 'full_text': 'Today at the Arts Centre: the Annual @DalhousieU Carol Sing! Join us at 12:00pm in the Sculpture Court for some festive songs and refreshments [candles for air drumming not provided]. #Halifax #DalhousieU https://t.co/nPY7kNlYaZ'}","{'date': '11/09/2017, 02:31:29', 'full_text': 'RT @RaghavSampangi: @DalWiTS @Dal_CSS @DalCSGS\nYou folks might find these questions useful. https://t.co/iDwqM4xG2a'}","{'date': '11/23/2019, 12:58:07', 'full_text': 'A great opportunity for international students - @DalIntcentre is pleased to partner and support ISWEP https://t.co/5gMsQn5uVT'}"
38,"{'date': '12/17/2019, 18:22:35', 'full_text': '#Halifax! Have you purchased your tickets yet to @NSMassChoir in the Rebecca Cohn Auditorium on January 18 for The Dream Continues: A musical tribute to Rev. Dr. Martin Luther King Jr. and Honouree captain George Borden (Retired)? To purchase: https://t.co/gqPE5JKgNE https://t.co/ImymXcrrx8'}","{'date': '11/07/2017, 21:19:14', 'full_text': 'RT @drcblouin: Gender summit 11, Dalhousie contingent. Thanks @DalPres for the opportunity. #GS11NA @dalfcs https://t.co/TSvsl0tPBc'}","{'date': '11/22/2019, 22:12:42', 'full_text': 'More dancing at the International Cultural Village! \u2066@DalStudentLife\u2069 \u2066@DalAfterDark\u2069 https://t.co/eMZpCQBvVT'}"
39,"{'date': '12/17/2019, 14:46:42', 'full_text': 'Big news coming from @SymphonyNS today! https://t.co/4Q4qBBdjBZ'}","{'date': '11/05/2017, 00:10:02', 'full_text': ""RT @dalfcs: We're thrilled to announce that we'll be bringing @cancwic to the east coast in 2018 #cancwic2017 #dal200 https://t.co/JXeTysz6…""}","{'date': '11/22/2019, 22:06:15', 'full_text': 'Thank you for awesome dancing and entertainment at the International Cultural Village! \u2066@DalStudentLife\u2069 \u2066@DalAfterDark\u2069 https://t.co/lHpm1xHmn2'}"
40,"{'date': '12/16/2019, 14:03:59', 'full_text': '#Halifax! Next Monday will be your last chance to pick up tickets or gift certificates at the Arts Centre Box Office until January 2, 2020! Tickets can be purchased online during the holiday closure and will be processed in the new year: https://t.co/gqPE5JKgNE https://t.co/8n100Mb2UP'}","{'date': '11/04/2017, 01:42:47', 'full_text': ""That's our Treasurer! https://t.co/9rNccj3D37""}","{'date': '11/22/2019, 21:39:54', 'full_text': 'Join us for the International Cultural Village in the LMP Atrium.  Enjoy great food and performances! \u2066@DalAfterDark\u2069 \u2066@dagshfx\u2069 https://t.co/WHVEaUlf5f'}"
41,"{'date': '12/13/2019, 20:20:41', 'full_text': ""So this is the secret to performing so many high-energy Christmas shows each year... they're running on a huge box of chocolate! Join @BarraMacNeils in the Rebecca Cohn Auditorium on Dec 22 (3pm &amp;/or 7:30pm), #Halifax! To purchase: https://t.co/gqPE5JKgNE https://t.co/wJCetwSfnA""}","{'date': '11/02/2017, 19:42:41', 'full_text': 'We will be selling 10 more #snowball tickets tomorrow. First come first serve at the Society Desk.'}","{'date': '11/22/2019, 21:26:18', 'full_text': 'RT @DalGradStudies: Calling all 🌏 international students! Help drive real change by sharing your experiences. Complete the International St…'}"
42,"{'date': '12/13/2019, 14:22:00', 'full_text': 'Check out this beautiful video for The Fraud by @rosecousins, filmed at the lovely @ConfedCentre! Rose will be on stage at the Rebecca Cohn Auditorium on March 19, presented by @SonicConcerts. To purchase: https://t.co/gqPE5JKgNE #Halifax https://t.co/SFUE1QhCns'}","{'date': '11/02/2017, 13:49:47', 'full_text': 'RT @theredspace: Mark your calendars! On Nov. 4, we’re hosting a hackathon @voltaeffect using the power of @ingest! https://t.co/7wVSmSVU8Y…'}","{'date': '11/21/2019, 20:07:44', 'full_text': 'RT @DalBSAC: The International Centre is at #DalBSAC today to inform student about international learning opportunities! Stop by and find o…'}"
43,"{'date': '12/12/2019, 20:23:00', 'full_text': 'RT @SymphonyNS: Look who’s helping out at the photobooth today! Come on down and take your picture with some awesome props! Don’t forget to…'}","{'date': '11/01/2017, 21:05:33', 'full_text': ""@shiftkeylabs @theTrendyTechie @dalfcs You're welcome 😎""}","{'date': '11/15/2019, 18:21:28', 'full_text': 'Dalhousie international students learning about pathways to permanent residency. We’re here until 4:00 so come and join us in the Potter Theatre of the Rowe Building. Thank you NSOI and IRCC! https://t.co/QsTpONeQiH'}"
44,"{'date': '12/11/2019, 20:02:07', 'full_text': 'RT @FSPAdirector: This Saturday, a team of @FSPADal students have something exciting planned at the @HfxSeaportMrkt! Be there at 11 and bra…'}","{'date': '11/01/2017, 21:03:14', 'full_text': 'RT @RaghavSampangi: At @shiftkeylabs for the #Blockchain101 workshop by @theTrendyTechie \n \n@dalfcs @Dal_CSS @DalCSGS @DalWiTS https://t.co…'}","{'date': '11/10/2019, 16:47:34', 'full_text': 'RT @BobRae48: Good to have this reminder after Don Cherry’s comments last night.  Cherry’s remarks were ignorant and prejudiced, and at thi…'}"
45,"{'date': '12/11/2019, 19:59:15', 'full_text': 'RT @SonicConcerts: Beautiful new video from Rose! Tickets to her show at the Rebecca Cohn in #Halifax w/ special guest John Paul White on M…'}","{'date': '10/28/2017, 15:21:09', 'full_text': '@theTrendyTechie Dibs 🤓'}","{'date': '11/08/2019, 21:49:43', 'full_text': 'A great crowd enjoying presentations at the Explore Japanese Prefectures event at the International Centre. A big thank you to the Japanese Student Society for hosting, cooking and sharing! https://t.co/Vlu0CtKqjp'}"
46,"{'date': '12/11/2019, 18:20:02', 'full_text': 'RT @SymphonyNS: Last Friday, we launched a new initiative at the @IWKHealthCentre. Thanks to our new partnership with @TELUS and @FriendlyF…'}","{'date': '10/28/2017, 15:19:52', 'full_text': 'Snowball is around the corner. Get your tickets weekdays 10am-4pm at the Society Desk. Less than 30 left! https://t.co/jLNHnN5QCK'}","{'date': '11/01/2019, 23:39:50', 'full_text': 'RT @DalStudentLife: Last chance to donate gently used winter clothing to the Winter Clothing Drive put on by the Dalhousie International Ce…'}"
47,"{'date': '12/11/2019, 15:31:33', 'full_text': '#Halifax! Give the gift of shows this holiday season! Gift certificates can be purchased from our Box Office over the phone or at the wicket. Certificates can be in any amount &amp; can be used on any show we sell tix for. Please contact the Box Office directly for further details. https://t.co/AtxxDm46NP'}","{'date': '10/23/2017, 13:16:34', 'full_text': '@Sarahcnszlm @dalfcs Meet in the Learning Centre!'}","{'date': '11/01/2019, 22:33:49', 'full_text': 'It’s Silent Disco time in the LMP Atrium - come on over! \u2066@DalAfterDark\u2069 https://t.co/U1aN8D8CGG'}"
